Transaction_id,Customer_id,Amount,Transaction_type,Longitude,Latitude,Transaction_Timestamp,Hour_of_Day,Day_of_Week,IP_Address,avg_spending,avg_transaction_count,Fraud
6f2086b3,d2f8e5,2813.49,Withdraw,-36.975757,-66.68675,2024-11-17 22:11:31,22,6,116.179.105.67,4166.28,43,1
6309e287,039458,9234.37,Payment,-25.430183,-8.24423,2024-10-26 08:56:05,8,5,28.8.98.22,737.0,10,0
a79540f4,92e065,3071.12,Payment,71.924224,-39.178163,2024-09-15 22:28:08,22,6,70.98.246.116,2650.13,19,1
f84e3803,f69985,3766.44,Transfer,-54.019763,-67.034887,2024-05-23 22:39:17,22,3,159.151.173.114,233.9,13,0
7972e221,fcf82f,3252.85,Withdraw,-33.344697,36.257655,2024-08-09 08:14:21,8,4,102.247.251.122,3700.5,15,1
8b521808,bb19a4,6843.31,Transfer,97.414955,19.212123,2025-03-24 11:14:42,11,0,212.27.162.20,2257.79,9,1
bf8ce620,e66c21,4844.68,Payment,-173.196565,-79.25962,2025-03-21 17:39:52,17,4,96.54.170.107,3678.97,44,1
fb94ce19,1b9333,8087.43,Withdraw,78.988424,-32.315249,2024-12-26 15:24:26,15,3,140.120.150.248,4900.22,12,0
1da9719e,875b16,4760.69,Payment,-38.237316,44.398104,2024-06-25 21:18:51,21,1,215.75.33.62,3045.99,18,1
3b0639fd,17bdac,78.2,Withdraw,146.874273,51.904473,2024-07-28 12:04:06,12,6,81.75.174.76,647.61,10,1
cd4a7b41,e5c3bd,1354.65,Payment,138.675709,-24.298873,2024-07-01 22:30:51,22,0,123.99.156.112,1668.08,28,0
95a87ed6,b9796f,7534.02,Transfer,-46.821942,-83.627291,2024-10-25 23:05:17,23,4,223.194.29.244,4308.96,41,1
d0bedddf,f55c01,3648.19,Payment,-158.881998,86.985704,2024-07-06 08:58:53,8,5,35.180.145.26,406.87,42,1
602c3947,dee9b8,1246.28,Payment,-8.150503,89.334886,2024-04-15 02:22:44,2,0,164.110.42.80,2899.66,49,1
52a6708b,274248,9605.19,Payment,-28.166243,30.451657,2024-10-30 17:00:49,17,2,88.18.82.248,4574.75,12,1
032862c5,2093df,2294.25,Transfer,-104.150917,-75.914628,2024-06-26 17:06:10,17,2,97.38.115.162,2316.23,39,0
34c9675c,9fb6d0,7251.67,Payment,-66.362554,-79.1905,2024-12-16 00:14:08,0,0,4.162.223.99,2755.17,31,1
9af61580,ffc0a8,814.69,Transfer,36.565704,55.50014,2025-01-07 12:06:48,12,1,3.53.105.25,2339.76,42,1
e4e7e38a,f4219c,5900.04,Withdraw,-53.915156,64.384935,2025-01-22 03:46:55,3,2,178.82.164.254,395.95,7,1
eb027cb4,8a25c6,8285.56,Withdraw,43.255435,-65.879882,2024-10-09 11:51:25,11,2,181.192.149.247,3453.94,23,0
5c62dc92,09425a,4008.96,Withdraw,71.126029,-69.850591,2024-07-17 19:40:55,19,2,190.89.156.117,4038.13,35,1
a424d07c,5e211d,8251.79,Transfer,-33.796388,-32.269722,2025-02-18 02:07:07,2,1,68.215.99.172,1870.29,49,1
75e509b3,dae942,4169.35,Transfer,-56.498316,27.670722,2024-08-20 11:55:38,11,1,51.172.80.218,1772.51,30,1
d0af8e00,1529c9,1240.49,Transfer,58.738514,-43.927774,2024-08-15 19:23:34,19,3,152.91.135.181,2118.03,18,1
b6cd88b5,4c71fb,8197.41,Payment,94.624298,46.36063,2024-04-04 18:37:41,18,3,109.6.143.208,4112.74,41,1
9771c2ce,0332b2,4884.95,Transfer,18.810769,-17.581997,2024-05-07 10:11:01,10,1,206.60.195.76,3440.4,28,1
b3fe4b58,044346,5701.63,Withdraw,59.979792,-40.007376,2024-04-28 21:45:27,21,6,137.57.81.95,535.04,37,1
a3516d6a,d1d26f,2600.95,Withdraw,159.22458,29.781368,2025-03-21 04:39:46,4,4,76.8.20.178,1919.21,4,1
364927e7,67d849,925.27,Transfer,105.140646,-58.970252,2024-10-04 11:08:52,11,4,117.73.172.231,1730.13,33,1
d1d6bc7a,e58e58,7971.32,Transfer,-88.95042,-23.570699,2024-12-18 02:54:42,2,2,143.77.62.201,629.36,12,0
4e46c385,252819,5981.25,Withdraw,155.826246,84.41112,2025-01-15 06:56:59,6,2,95.196.139.197,2052.39,24,0
71a68c2c,6a2b7c,6035.49,Transfer,47.389446,30.206922,2024-11-17 14:56:29,14,6,140.153.225.119,1830.86,1,1
6034b014,745206,1619.12,Payment,10.938127,-42.461034,2024-08-04 15:18:17,15,6,75.201.224.227,713.78,42,1
c3113a94,ac37ea,8468.43,Transfer,-88.44589,77.932178,2024-07-22 05:23:49,5,0,141.70.21.251,210.5,20,1
ff72d53b,4cf3b6,6823.73,Withdraw,33.471145,20.42185,2024-11-13 04:10:49,4,2,1.2.158.93,927.02,19,1
2eb42117,37eef0,6745.83,Transfer,-41.611944,-0.339865,2025-01-19 13:53:57,13,6,206.108.116.4,2772.9,8,1
2992f319,55ae8c,5582.85,Withdraw,-56.476601,-65.097412,2024-10-02 00:31:22,0,2,221.7.112.153,1425.4,17,1
8bffe314,928278,6319.46,Payment,114.897357,-83.021945,2024-08-09 11:01:29,11,4,53.153.203.138,2901.25,45,0
c80ab7ae,96bcbd,9177.78,Transfer,108.100787,-54.283058,2024-07-01 06:32:41,6,0,26.224.135.88,2875.44,43,1
c0eedc09,b87727,2484.26,Withdraw,-147.00455,53.819849,2025-01-13 09:54:24,9,0,221.224.134.44,2659.91,32,1
26f9b339,c68468,2014.34,Withdraw,-50.454361,-61.727923,2025-03-12 23:04:23,23,2,62.8.212.69,4055.61,33,1
67f2e555,49454b,8581.12,Withdraw,75.198627,-56.39491,2024-10-12 17:19:16,17,5,163.143.118.82,3385.74,1,1
c4adb0ae,9ba7b3,4431.38,Payment,167.925922,87.645401,2024-04-07 13:55:55,13,6,151.19.238.211,1494.63,36,1
cda95e00,26c979,8275.38,Payment,173.635129,34.373956,2024-12-01 11:26:42,11,6,75.183.118.26,4959.78,14,0
71464390,8f7f78,9666.83,Payment,-43.190086,-5.432912,2024-05-09 15:56:01,15,3,157.149.231.183,2709.58,45,1
7e9cb245,16c504,3490.75,Payment,70.334498,50.409664,2025-03-02 14:49:33,14,6,219.116.168.220,4148.75,29,1
f89573d4,709234,1666.52,Withdraw,54.892718,63.120759,2024-08-16 10:05:25,10,4,174.79.127.28,2977.44,49,1
31b9c1a6,472b0a,8921.09,Payment,120.105234,6.647731,2024-07-18 02:11:55,2,3,79.35.7.217,1865.3,14,0
11cdb393,9dce49,2528.74,Transfer,93.361913,13.766035,2024-08-19 20:06:20,20,0,114.13.172.35,3589.79,31,1
